occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings
        Database administrators,15-1242,78.0,77.5,-0.5,-0.7,104620.0,Bachelor's degree,3.8
        Database architects,15-1243,66.9,72.7,5.8,8.7,135980.0,Bachelor's degree,4.0
        Network and computer systems administrators,15-1244,331.5,317.7,-13.8,-4.2,96800.0,Bachelor's degree,14.3
        Computer programmers,15-1251,121.2,113.9,-7.2,-6.0,98670.0,Bachelor's degree,5.5
        Software developers,15-1252,1693.8,1961.4,267.7,15.8,133080.0,Bachelor's degree,115.2
        Software quality assurance analysts and testers,15-1253,201.7,221.9,20.2,10.0,102610.0,Bachelor's degree,14.0
        Web developers,15-1254,86.0,92.5,6.5,7.5,90930.0,Bachelor's degree,5.4
        Web and digital interface designers,15-1255,128.9,137.9,9.0,7.0,98090.0,Bachelor's degree,9.1
"      Computer occupations, all other",15-1299,472.0,510.5,38.5,8.2,108970.0,Bachelor's degree,31.3
      Actuaries,15-2011,33.6,40.9,7.3,21.8,125770.0,Bachelor's degree,2.4
      Mathematicians,15-2021,2.4,2.4,0.0,-0.7,121680.0,Master's degree,0.1
      Operations research analysts,15-2031,112.1,136.2,24.1,21.5,91290.0,Bachelor's degree,9.6
      Statisticians,15-2041,32.2,34.9,2.7,8.5,103300.0,Master's degree,2.0
      Data scientists,15-2051,245.9,328.3,82.5,33.5,112590.0,Bachelor's degree,23.4
"      Mathematical science occupations, all other",15-2099,5.0,5.2,0.2,4.0,71490.0,Bachelor's degree,0.3
"        Architects, except landscape and naval",17-1011,123.6,128.4,4.8,3.9,96690.0,Bachelor's degree,7.8
        Landscape architects,17-1012,21.8,22.6,0.8,3.5,79660.0,Bachelor's degree,1.7
        Cartographers and photogrammetrists,17-1021,13.4,14.3,0.9,6.4,78380.0,Bachelor's degree,1.0
        Surveyors,17-1022,56.1,58.6,2.5,4.4,72740.0,Bachelor's degree,3.9
      Aerospace engineers,17-2011,71.6,75.9,4.4,6.1,134830.0,Bachelor's degree,4.5
      Agricultural engineers,17-2021,1.7,1.8,0.1,5.9,84630.0,Bachelor's degree,0.1
      Bioengineers and biomedical engineers,17-2031,22.2,23.3,1.1,5.2,106950.0,Bachelor's degree,1.3
      Chemical engineers,17-2041,21.6,22.1,0.6,2.6,121860.0,Bachelor's degree,1.1
      Civil engineers,17-2051,368.9,387.5,18.5,5.0,99590.0,Bachelor's degree,23.6
      Computer hardware engineers,17-2061,76.8,82.4,5.6,7.3,155020.0,Bachelor's degree,4.7
        Electrical engineers,17-2071,192.0,205.7,13.8,7.2,111910.0,Bachelor's degree,11.7
"        Electronics engineers, except computer",17-2072,95.9,101.8,6.0,6.2,127590.0,Bachelor's degree,5.7
      Environmental engineers,17-2081,39.4,41.0,1.5,3.9,104170.0,Bachelor's degree,3.0
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,23.8,24.9,1.1,4.4,109660.0,Bachelor's degree,1.5
        Industrial engineers,17-2112,351.1,389.6,38.5,11.0,101140.0,Bachelor's degree,25.2
      Marine engineers and naval architects,17-2121,8.5,9.0,0.5,5.8,105670.0,Bachelor's degree,0.6
      Materials engineers,17-2131,23.0,24.3,1.3,5.7,108310.0,Bachelor's degree,1.5
