automation_prob,soc_code,occupation_fo
0.83,53-6031,Automotive and watercraft service attendants
0.83,47-4071,Septic tank servicers and sewer pipe cleaners
0.83,39-6011,Baggage porters and bellhops
0.83,41-2012,Gaming change persons and booth cashiers
0.83,51-4023,"Rolling machine setters, operators, and tenders, metal and plastic"
0.83,47-2071,"Paving, surfacing, and tamping equipment operators"
0.84,51-4111,Tool and die makers
0.84,17-3023,Electrical and electronics engineering technicians
0.84,47-2161,Plasterers and stucco masons
0.84,51-4192,"Layout workers, metal and plastic"
0.84,51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
0.84,33-9032,Security guards
0.84,51-6052,"Tailors, dressmakers, and custom sewers"
0.84,53-7073,Wellhead pumpers
0.84,43-9081,Proofreaders and copy markers
0.84,33-3041,Parking enforcement workers
0.85,53-7062,"Labourers and freight, stock, and material movers, hand"
0.85,41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products"
0.85,43-5041,"Meter readers, utilities"
0.85,51-8013,Power plant operators
0.85,51-8091,Chemical plant and system operators
0.85,47-5021,"Earth drillers, except oil and gas"
0.85,19-4051,Nuclear technicians
0.86,43-6011,Executive secretaries and executive administrative assistants
0.86,51-8099,"Plant and system operators, all other"
0.86,35-3041,"Food servers, nonrestaurant"
0.86,51-7041,"Sawing machine setters, operators, and tenders, wood"
0.86,53-4041,Subway and streetcar operators
0.86,31-9096,Veterinary assistants and laboratory animal caretakers
0.86,51-9032,"Cutting and slicing machine setters, operators, and tenders"
0.86,41-9022,Real estate sales agents
0.86,51-4011,"Computer-controlled machine tool operators, metal and plastic"
0.86,49-9043,"Maintenance workers, machinery"
0.86,43-4021,Correspondence clerks
0.87,45-2090,Miscellaneous agricultural workers
0.87,45-4011,Forest and conservation workers
0.87,51-4052,"Pourers and casters, metal"
0.87,47-2041,Carpet Installers
0.87,47-2142,Paperhangers
0.87,13-1021,"Buyers and purchasing agents, farm products"
0.87,51-7021,Furniture Finishers
0.87,35-2021,Food preparation workers
0.87,47-2043,Floor sanders and finishers
0.87,53-6021,Parking lot attendants
0.87,47-4051,Highway maintenance workers
0.88,47-2061,Construction labourers
0.88,43-5061,"Production, planning, and expediting clerks"
0.88,51-9141,Semiconductor Processors
0.88,17-1021,Cartographers and photogrammetrists
0.88,51-4051,Metal-refining furnace operators and tenders
0.88,51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders"
0.88,51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"
0.88,47-2053,Terrazzo workers and finishers
0.88,51-4194,"Tool grinders, filers, and sharpeners"
0.88,49-3043,Rail car repairers
0.89,51-3011,Bakers
0.89,31-9094,Medical transcriptionists
0.89,47-2022,Stonemasons
0.89,53-3022,"Bus drivers, school or special client"
0.89,27-3042,Technical writers
0.89,49-9096,Riggers
0.89,47-4061,Rail-track laying and maintenance equipment operators
0.89,51-8021,Stationary engineers and boiler operators
0.89,51-6031,Sewing machine operators
0.89,53-3041,Taxi drivers and chauffeurs
0.9,43-4161,"Human resources assistants, except payroll and timekeeping"
0.9,29-2011,Medical and clinical laboratory technologists
0.9,47-2171,Reinforcing iron and rebar workers
0.9,47-2181,Roofers
0.9,53-7021,Crane and tower operators
0.9,53-6041,Traffic technicians
0.9,53-6051,Transportation inspectors
0.9,51-4062,"Patternmakers, metal and plastic"
0.9,51-9195,"Molders, shapers, and casters, except metal and plastic"
0.9,13-2021,Appraisers and assessors of real estate
0.9,53-7072,"Pump operators, except wellhead pumpers"
0.9,49-9097,Signal and track switch repairers
0.91,39-3012,Gaming and sports book writers and runners
0.91,49-9063,Musical instrument repairers and tuners
0.91,39-7011,Tour guides and escorts
0.91,49-9011,Mechanical door repairers
0.91,51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders"
0.91,53-7071,Gas compressor and gas pumping station operators
0.91,29-2071,Medical records and health information technicians
0.91,51-9121,"Coating, painting, and spraying machine setters, operators, and tenders"
0.91,51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic"
0.91,53-4013,"Rail yard engineers, dinkey operators, and hostlers"
0.91,49-2093,"Electrical and electronics installers and repairers, transportation equipment"
0.91,35-9011,Dining room and cafeteria attendants and bartender helpers
0.91,51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic"
0.91,19-4041,Geological and petroleum technicians
0.91,49-3021,Automotive body and related repairers
0.91,51-7032,"Patternmakers, wood"
0.91,51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
0.92,43-9071,"Office machine operators, except computer"
0.92,29-2052,Pharmacy technicians
0.92,43-4131,Loan interviewers and clerks
0.92,53-7031,Dredge operators
0.92,41-3021,Insurance sales agents
